"first","second"
"67.983 , 15.9885 , 89.9895","216.9795 , 226.9755 , 106.998"
"67.983 , 15.9885 , 89.9895","197.982 , 221.9775 , 36.975"
"67.983 , 15.9885 , 89.9895","174.981 , 190.995 , 90.984"
"67.983 , 15.9885 , 89.9895","170.9775 , 201.9855 , 1.989"
"67.983 , 15.9885 , 89.9895","132.9825 , 147.9765 , 42.993"
"67.983 , 15.9885 , 89.9895","117.9885 , 142.9785 , 0.9945"
"67.983 , 15.9885 , 89.9895","68.9775 , 85.986 , 7.9815"
"67.983 , 15.9885 , 89.9895","251.991 , 236.997 , 119.9775"
"67.983 , 15.9885 , 89.9895","252.9855 , 221.9775 , 42.993"
"67.983 , 15.9885 , 89.9895","211.9815 , 190.995 , 81.9825"
"67.983 , 15.9885 , 89.9895","244.9785 , 208.998 , 0.9945"
"67.983 , 15.9885 , 89.9895","175.9755 , 151.98 , 45.9765"
"67.983 , 15.9885 , 89.9895","170.9775 , 143.9985 , 2.9835"
"67.983 , 15.9885 , 89.9895","104.9835 , 90.984 , 20.9865"
"67.983 , 15.9885 , 89.9895","250.9965 , 200.991 , 141.984"
"67.983 , 15.9885 , 89.9895","251.991 , 166.9995 , 40.9785"
"67.983 , 15.9885 , 89.9895","228.99 , 154.989 , 91.9785"
"67.983 , 15.9885 , 89.9895","255 , 143.9985 , 0"
"67.983 , 15.9885 , 89.9895","174.981 , 120.9975 , 60.996"
"67.983 , 15.9885 , 89.9895","172.992 , 100.98 , 1.989"
"67.983 , 15.9885 , 89.9895","118.983 , 69.9975 , 11.985"
"67.983 , 15.9885 , 89.9895","250.9965 , 175.9755 , 153"
"67.983 , 15.9885 , 89.9895","251.991 , 112.9905 , 46.9965"
"67.983 , 15.9885 , 89.9895","230.979 , 126.99 , 114.9795"
"67.983 , 15.9885 , 89.9895","232.9935 , 52.989 , 6.987"
"67.983 , 15.9885 , 89.9895","162.996 , 87.975 , 57.987"
"67.983 , 15.9885 , 89.9895","165.9795 , 26.979 , 1.989"
"67.983 , 15.9885 , 89.9895","120.9975 , 41.9985 , 24.99"
"67.983 , 15.9885 , 89.9895","246.993 , 153.9945 , 161.976"
"67.983 , 15.9885 , 89.9895","226.9755 , 97.9965 , 100.98"
"67.983 , 15.9885 , 89.9895","210.987 , 121.992 , 125.9955"
"67.983 , 15.9885 , 89.9895","218.994 , 11.985 , 39.984"
"67.983 , 15.9885 , 89.9895","150.9855 , 72.981 , 75.99"
"67.983 , 15.9885 , 89.9895","155.9835 , 8.976 , 26.979"
"67.983 , 15.9885 , 89.9895","89.9895 , 29.988 , 31.977"
"67.983 , 15.9885 , 89.9895","1.989 , 3.978 , 0.9945"
"67.983 , 15.9885 , 89.9895","41.9985 , 48.9855 , 40.9785"
"67.983 , 15.9885 , 89.9895","89.9895 , 95.982 , 81.9825"
"67.983 , 15.9885 , 89.9895","93.993 , 99.9855 , 85.986"
"67.983 , 15.9885 , 89.9895","126.99 , 130.9935 , 116.994"
"67.983 , 15.9885 , 89.9895","157.998 , 161.976 , 147.9765"
"67.983 , 15.9885 , 89.9895","180.999 , 186.9915 , 172.992"
"67.983 , 15.9885 , 89.9895","216.9795 , 218.994 , 205.989"
"67.983 , 15.9885 , 89.9895","246.993 , 247.9875 , 241.995"
"51.9945 , 31.977 , 59.976","51.9945 , 31.977 , 59.976"
"51.9945 , 31.977 , 59.976","151.98 , 150.9855 , 192.984"
"51.9945 , 31.977 , 59.976","113.985 , 113.985 , 201.9855"
"51.9945 , 31.977 , 59.976","113.985 , 107.9925 , 146.982"
"51.9945 , 31.977 , 59.976","57.987 , 49.98 , 158.9925"
"51.9945 , 31.977 , 59.976","78.999 , 72.981 , 108.987"
"51.9945 , 31.977 , 59.976","38.9895 , 29.988 , 110.976"
"51.9945 , 31.977 , 59.976","23.9955 , 22.9755 , 57.987"
"51.9945 , 31.977 , 59.976","134.997 , 162.996 , 201.9855"
"51.9945 , 31.977 , 59.976","66.9885 , 122.9865 , 196.9875"
"51.9945 , 31.977 , 59.976","95.982 , 122.9865 , 167.994"
"51.9945 , 31.977 , 59.976","12.9795 , 79.9935 , 162.996"
"51.9945 , 31.977 , 59.976","63.9795 , 89.9895 , 122.9865"
"51.9945 , 31.977 , 59.976","2.9835 , 44.982 , 136.986"
"51.9945 , 31.977 , 59.976","3.978 , 32.997 , 64.9995"
"51.9945 , 31.977 , 59.976","115.9995 , 183.9825 , 195.993"
"51.9945 , 31.977 , 59.976","51 , 148.9965 , 183.9825"
"51.9945 , 31.977 , 59.976","88.995 , 145.9875 , 162.996"
"51.9945 , 31.977 , 59.976","2.9835 , 82.977 , 154.989"
"51.9945 , 31.977 , 59.976","47.991 , 40.9785 , 116.994"
"51.9945 , 31.977 , 59.976","3.978 , 64.9995 , 111.996"
"51.9945 , 31.977 , 59.976","9.996 , 56.9925 , 76.9845"
"51.9945 , 31.977 , 59.976","141.984 , 207.978 , 193.9785"
"51.9945 , 31.977 , 59.976","65.994 , 167.994 , 154.989"
"51.9945 , 31.977 , 59.976","104.9835 , 168.9885 , 153"
"51.9945 , 31.977 , 59.976","8.976 , 110.976 , 121.992"
"51.9945 , 31.977 , 59.976","54.978 , 116.994 , 103.989"
"51.9945 , 31.977 , 59.976","3.978 , 78.999 , 73.9755"
"51.9945 , 31.977 , 59.976","10.9905 , 59.976 , 56.9925"
"51.9945 , 31.977 , 59.976","163.9905 , 226.9755 , 172.992"
"51.9945 , 31.977 , 59.976","95.982 , 193.9785 , 110.976"
"51.9945 , 31.977 , 59.976","131.988 , 179.979 , 127.9845"
"51.9945 , 31.977 , 59.976","64.9995 , 161.976 , 68.9775"
"51.9945 , 31.977 , 59.976","72.981 , 127.9845 , 85.986"
"51.9945 , 31.977 , 59.976","32.997 , 116.994 , 39.984"
"51.9945 , 31.977 , 59.976","22.9755 , 61.9905 , 31.977"
"51.9945 , 31.977 , 59.976","216.9795 , 226.9755 , 106.998"
"51.9945 , 31.977 , 59.976","197.982 , 221.9775 , 36.975"
"51.9945 , 31.977 , 59.976","174.981 , 190.995 , 90.984"
"51.9945 , 31.977 , 59.976","170.9775 , 201.9855 , 1.989"
"51.9945 , 31.977 , 59.976","132.9825 , 147.9765 , 42.993"
"51.9945 , 31.977 , 59.976","117.9885 , 142.9785 , 0.9945"
"51.9945 , 31.977 , 59.976","68.9775 , 85.986 , 7.9815"
"51.9945 , 31.977 , 59.976","251.991 , 236.997 , 119.9775"
"51.9945 , 31.977 , 59.976","252.9855 , 221.9775 , 42.993"
"51.9945 , 31.977 , 59.976","211.9815 , 190.995 , 81.9825"
"51.9945 , 31.977 , 59.976","244.9785 , 208.998 , 0.9945"
"51.9945 , 31.977 , 59.976","175.9755 , 151.98 , 45.9765"
"51.9945 , 31.977 , 59.976","170.9775 , 143.9985 , 2.9835"
"51.9945 , 31.977 , 59.976","104.9835 , 90.984 , 20.9865"
"51.9945 , 31.977 , 59.976","250.9965 , 200.991 , 141.984"
"51.9945 , 31.977 , 59.976","251.991 , 166.9995 , 40.9785"
"51.9945 , 31.977 , 59.976","228.99 , 154.989 , 91.9785"
"51.9945 , 31.977 , 59.976","255 , 143.9985 , 0"
"51.9945 , 31.977 , 59.976","174.981 , 120.9975 , 60.996"
"51.9945 , 31.977 , 59.976","172.992 , 100.98 , 1.989"
"51.9945 , 31.977 , 59.976","118.983 , 69.9975 , 11.985"
"51.9945 , 31.977 , 59.976","250.9965 , 175.9755 , 153"
"51.9945 , 31.977 , 59.976","251.991 , 112.9905 , 46.9965"
"51.9945 , 31.977 , 59.976","230.979 , 126.99 , 114.9795"
"51.9945 , 31.977 , 59.976","232.9935 , 52.989 , 6.987"
"51.9945 , 31.977 , 59.976","162.996 , 87.975 , 57.987"
"51.9945 , 31.977 , 59.976","165.9795 , 26.979 , 1.989"
"51.9945 , 31.977 , 59.976","120.9975 , 41.9985 , 24.99"
"51.9945 , 31.977 , 59.976","246.993 , 153.9945 , 161.976"
"51.9945 , 31.977 , 59.976","226.9755 , 97.9965 , 100.98"
"51.9945 , 31.977 , 59.976","210.987 , 121.992 , 125.9955"
"51.9945 , 31.977 , 59.976","218.994 , 11.985 , 39.984"
"51.9945 , 31.977 , 59.976","150.9855 , 72.981 , 75.99"
"51.9945 , 31.977 , 59.976","155.9835 , 8.976 , 26.979"
"51.9945 , 31.977 , 59.976","89.9895 , 29.988 , 31.977"
"51.9945 , 31.977 , 59.976","1.989 , 3.978 , 0.9945"
"51.9945 , 31.977 , 59.976","41.9985 , 48.9855 , 40.9785"
"51.9945 , 31.977 , 59.976","89.9895 , 95.982 , 81.9825"
"51.9945 , 31.977 , 59.976","93.993 , 99.9855 , 85.986"
"51.9945 , 31.977 , 59.976","126.99 , 130.9935 , 116.994"
"51.9945 , 31.977 , 59.976","157.998 , 161.976 , 147.9765"
"51.9945 , 31.977 , 59.976","180.999 , 186.9915 , 172.992"
"51.9945 , 31.977 , 59.976","216.9795 , 218.994 , 205.989"
"51.9945 , 31.977 , 59.976","246.993 , 247.9875 , 241.995"
"151.98 , 150.9855 , 192.984","151.98 , 150.9855 , 192.984"
"151.98 , 150.9855 , 192.984","113.985 , 113.985 , 201.9855"
"151.98 , 150.9855 , 192.984","113.985 , 107.9925 , 146.982"
"151.98 , 150.9855 , 192.984","57.987 , 49.98 , 158.9925"
"151.98 , 150.9855 , 192.984","78.999 , 72.981 , 108.987"
"151.98 , 150.9855 , 192.984","38.9895 , 29.988 , 110.976"
"151.98 , 150.9855 , 192.984","23.9955 , 22.9755 , 57.987"
"151.98 , 150.9855 , 192.984","134.997 , 162.996 , 201.9855"
"151.98 , 150.9855 , 192.984","66.9885 , 122.9865 , 196.9875"
"151.98 , 150.9855 , 192.984","95.982 , 122.9865 , 167.994"
"151.98 , 150.9855 , 192.984","12.9795 , 79.9935 , 162.996"
"151.98 , 150.9855 , 192.984","63.9795 , 89.9895 , 122.9865"
"151.98 , 150.9855 , 192.984","2.9835 , 44.982 , 136.986"
"151.98 , 150.9855 , 192.984","3.978 , 32.997 , 64.9995"
"151.98 , 150.9855 , 192.984","115.9995 , 183.9825 , 195.993"
"151.98 , 150.9855 , 192.984","51 , 148.9965 , 183.9825"
"151.98 , 150.9855 , 192.984","88.995 , 145.9875 , 162.996"
"151.98 , 150.9855 , 192.984","2.9835 , 82.977 , 154.989"
"151.98 , 150.9855 , 192.984","47.991 , 40.9785 , 116.994"
"151.98 , 150.9855 , 192.984","3.978 , 64.9995 , 111.996"
"151.98 , 150.9855 , 192.984","9.996 , 56.9925 , 76.9845"
"151.98 , 150.9855 , 192.984","141.984 , 207.978 , 193.9785"
"151.98 , 150.9855 , 192.984","65.994 , 167.994 , 154.989"
"151.98 , 150.9855 , 192.984","104.9835 , 168.9885 , 153"
"151.98 , 150.9855 , 192.984","8.976 , 110.976 , 121.992"
"151.98 , 150.9855 , 192.984","54.978 , 116.994 , 103.989"
"151.98 , 150.9855 , 192.984","3.978 , 78.999 , 73.9755"
"151.98 , 150.9855 , 192.984","10.9905 , 59.976 , 56.9925"
"151.98 , 150.9855 , 192.984","163.9905 , 226.9755 , 172.992"
"151.98 , 150.9855 , 192.984","95.982 , 193.9785 , 110.976"
"151.98 , 150.9855 , 192.984","131.988 , 179.979 , 127.9845"
"151.98 , 150.9855 , 192.984","64.9995 , 161.976 , 68.9775"
"151.98 , 150.9855 , 192.984","72.981 , 127.9845 , 85.986"
"151.98 , 150.9855 , 192.984","32.997 , 116.994 , 39.984"
"151.98 , 150.9855 , 192.984","22.9755 , 61.9905 , 31.977"
"151.98 , 150.9855 , 192.984","216.9795 , 226.9755 , 106.998"
"151.98 , 150.9855 , 192.984","197.982 , 221.9775 , 36.975"
"151.98 , 150.9855 , 192.984","174.981 , 190.995 , 90.984"
"151.98 , 150.9855 , 192.984","170.9775 , 201.9855 , 1.989"
"151.98 , 150.9855 , 192.984","132.9825 , 147.9765 , 42.993"
"151.98 , 150.9855 , 192.984","117.9885 , 142.9785 , 0.9945"
"151.98 , 150.9855 , 192.984","68.9775 , 85.986 , 7.9815"
"151.98 , 150.9855 , 192.984","251.991 , 236.997 , 119.9775"
"151.98 , 150.9855 , 192.984","252.9855 , 221.9775 , 42.993"
"151.98 , 150.9855 , 192.984","211.9815 , 190.995 , 81.9825"
"151.98 , 150.9855 , 192.984","244.9785 , 208.998 , 0.9945"
"151.98 , 150.9855 , 192.984","175.9755 , 151.98 , 45.9765"
"151.98 , 150.9855 , 192.984","170.9775 , 143.9985 , 2.9835"
"151.98 , 150.9855 , 192.984","104.9835 , 90.984 , 20.9865"
"151.98 , 150.9855 , 192.984","250.9965 , 200.991 , 141.984"
"151.98 , 150.9855 , 192.984","251.991 , 166.9995 , 40.9785"
"151.98 , 150.9855 , 192.984","228.99 , 154.989 , 91.9785"
"151.98 , 150.9855 , 192.984","255 , 143.9985 , 0"
"151.98 , 150.9855 , 192.984","174.981 , 120.9975 , 60.996"
"151.98 , 150.9855 , 192.984","172.992 , 100.98 , 1.989"
"151.98 , 150.9855 , 192.984","118.983 , 69.9975 , 11.985"
"151.98 , 150.9855 , 192.984","250.9965 , 175.9755 , 153"
"151.98 , 150.9855 , 192.984","251.991 , 112.9905 , 46.9965"
"151.98 , 150.9855 , 192.984","230.979 , 126.99 , 114.9795"
"151.98 , 150.9855 , 192.984","232.9935 , 52.989 , 6.987"
"151.98 , 150.9855 , 192.984","162.996 , 87.975 , 57.987"
"151.98 , 150.9855 , 192.984","165.9795 , 26.979 , 1.989"
"151.98 , 150.9855 , 192.984","120.9975 , 41.9985 , 24.99"
"151.98 , 150.9855 , 192.984","246.993 , 153.9945 , 161.976"
"151.98 , 150.9855 , 192.984","226.9755 , 97.9965 , 100.98"
"151.98 , 150.9855 , 192.984","210.987 , 121.992 , 125.9955"
"151.98 , 150.9855 , 192.984","218.994 , 11.985 , 39.984"
"151.98 , 150.9855 , 192.984","150.9855 , 72.981 , 75.99"
"151.98 , 150.9855 , 192.984","155.9835 , 8.976 , 26.979"
"151.98 , 150.9855 , 192.984","89.9895 , 29.988 , 31.977"
"151.98 , 150.9855 , 192.984","1.989 , 3.978 , 0.9945"
"151.98 , 150.9855 , 192.984","41.9985 , 48.9855 , 40.9785"
"151.98 , 150.9855 , 192.984","89.9895 , 95.982 , 81.9825"
"151.98 , 150.9855 , 192.984","93.993 , 99.9855 , 85.986"
"151.98 , 150.9855 , 192.984","126.99 , 130.9935 , 116.994"
"151.98 , 150.9855 , 192.984","157.998 , 161.976 , 147.9765"
"151.98 , 150.9855 , 192.984","180.999 , 186.9915 , 172.992"
"151.98 , 150.9855 , 192.984","216.9795 , 218.994 , 205.989"
"151.98 , 150.9855 , 192.984","246.993 , 247.9875 , 241.995"
"113.985 , 113.985 , 201.9855","113.985 , 113.985 , 201.9855"
"113.985 , 113.985 , 201.9855","113.985 , 107.9925 , 146.982"
"113.985 , 113.985 , 201.9855","57.987 , 49.98 , 158.9925"
"113.985 , 113.985 , 201.9855","78.999 , 72.981 , 108.987"
"113.985 , 113.985 , 201.9855","38.9895 , 29.988 , 110.976"
"113.985 , 113.985 , 201.9855","23.9955 , 22.9755 , 57.987"
"113.985 , 113.985 , 201.9855","134.997 , 162.996 , 201.9855"
"113.985 , 113.985 , 201.9855","66.9885 , 122.9865 , 196.9875"
"113.985 , 113.985 , 201.9855","95.982 , 122.9865 , 167.994"
"113.985 , 113.985 , 201.9855","12.9795 , 79.9935 , 162.996"
"113.985 , 113.985 , 201.9855","63.9795 , 89.9895 , 122.9865"
"113.985 , 113.985 , 201.9855","2.9835 , 44.982 , 136.986"
"113.985 , 113.985 , 201.9855","3.978 , 32.997 , 64.9995"
"113.985 , 113.985 , 201.9855","115.9995 , 183.9825 , 195.993"
"113.985 , 113.985 , 201.9855","51 , 148.9965 , 183.9825"
"113.985 , 113.985 , 201.9855","88.995 , 145.9875 , 162.996"
"113.985 , 113.985 , 201.9855","2.9835 , 82.977 , 154.989"
"113.985 , 113.985 , 201.9855","47.991 , 40.9785 , 116.994"
"113.985 , 113.985 , 201.9855","3.978 , 64.9995 , 111.996"
"113.985 , 113.985 , 201.9855","9.996 , 56.9925 , 76.9845"
"113.985 , 113.985 , 201.9855","141.984 , 207.978 , 193.9785"
"113.985 , 113.985 , 201.9855","65.994 , 167.994 , 154.989"
"113.985 , 113.985 , 201.9855","104.9835 , 168.9885 , 153"
"113.985 , 113.985 , 201.9855","8.976 , 110.976 , 121.992"
"113.985 , 113.985 , 201.9855","54.978 , 116.994 , 103.989"
"113.985 , 113.985 , 201.9855","3.978 , 78.999 , 73.9755"
"113.985 , 113.985 , 201.9855","10.9905 , 59.976 , 56.9925"
"113.985 , 113.985 , 201.9855","163.9905 , 226.9755 , 172.992"
"113.985 , 113.985 , 201.9855","95.982 , 193.9785 , 110.976"
"113.985 , 113.985 , 201.9855","131.988 , 179.979 , 127.9845"
"113.985 , 113.985 , 201.9855","64.9995 , 161.976 , 68.9775"
"113.985 , 113.985 , 201.9855","72.981 , 127.9845 , 85.986"
"113.985 , 113.985 , 201.9855","32.997 , 116.994 , 39.984"
"113.985 , 113.985 , 201.9855","22.9755 , 61.9905 , 31.977"
"113.985 , 113.985 , 201.9855","216.9795 , 226.9755 , 106.998"
"113.985 , 113.985 , 201.9855","197.982 , 221.9775 , 36.975"
"113.985 , 113.985 , 201.9855","174.981 , 190.995 , 90.984"
"113.985 , 113.985 , 201.9855","170.9775 , 201.9855 , 1.989"
"113.985 , 113.985 , 201.9855","132.9825 , 147.9765 , 42.993"
"113.985 , 113.985 , 201.9855","117.9885 , 142.9785 , 0.9945"
"113.985 , 113.985 , 201.9855","68.9775 , 85.986 , 7.9815"
"113.985 , 113.985 , 201.9855","251.991 , 236.997 , 119.9775"
"113.985 , 113.985 , 201.9855","252.9855 , 221.9775 , 42.993"
"113.985 , 113.985 , 201.9855","211.9815 , 190.995 , 81.9825"
"113.985 , 113.985 , 201.9855","244.9785 , 208.998 , 0.9945"
"113.985 , 113.985 , 201.9855","175.9755 , 151.98 , 45.9765"
"113.985 , 113.985 , 201.9855","170.9775 , 143.9985 , 2.9835"
"113.985 , 113.985 , 201.9855","104.9835 , 90.984 , 20.9865"
"113.985 , 113.985 , 201.9855","250.9965 , 200.991 , 141.984"
"113.985 , 113.985 , 201.9855","251.991 , 166.9995 , 40.9785"
"113.985 , 113.985 , 201.9855","228.99 , 154.989 , 91.9785"
"113.985 , 113.985 , 201.9855","255 , 143.9985 , 0"
"113.985 , 113.985 , 201.9855","174.981 , 120.9975 , 60.996"
"113.985 , 113.985 , 201.9855","172.992 , 100.98 , 1.989"
"113.985 , 113.985 , 201.9855","118.983 , 69.9975 , 11.985"
"113.985 , 113.985 , 201.9855","250.9965 , 175.9755 , 153"
"113.985 , 113.985 , 201.9855","251.991 , 112.9905 , 46.9965"
"113.985 , 113.985 , 201.9855","230.979 , 126.99 , 114.9795"
"113.985 , 113.985 , 201.9855","232.9935 , 52.989 , 6.987"
"113.985 , 113.985 , 201.9855","162.996 , 87.975 , 57.987"
"113.985 , 113.985 , 201.9855","165.9795 , 26.979 , 1.989"
"113.985 , 113.985 , 201.9855","120.9975 , 41.9985 , 24.99"
"113.985 , 113.985 , 201.9855","246.993 , 153.9945 , 161.976"
"113.985 , 113.985 , 201.9855","226.9755 , 97.9965 , 100.98"
"113.985 , 113.985 , 201.9855","210.987 , 121.992 , 125.9955"
"113.985 , 113.985 , 201.9855","218.994 , 11.985 , 39.984"
"113.985 , 113.985 , 201.9855","150.9855 , 72.981 , 75.99"
"113.985 , 113.985 , 201.9855","155.9835 , 8.976 , 26.979"
"113.985 , 113.985 , 201.9855","89.9895 , 29.988 , 31.977"
"113.985 , 113.985 , 201.9855","1.989 , 3.978 , 0.9945"
"113.985 , 113.985 , 201.9855","41.9985 , 48.9855 , 40.9785"
"113.985 , 113.985 , 201.9855","89.9895 , 95.982 , 81.9825"
"113.985 , 113.985 , 201.9855","93.993 , 99.9855 , 85.986"
"113.985 , 113.985 , 201.9855","126.99 , 130.9935 , 116.994"
"113.985 , 113.985 , 201.9855","157.998 , 161.976 , 147.9765"
"113.985 , 113.985 , 201.9855","180.999 , 186.9915 , 172.992"
"113.985 , 113.985 , 201.9855","216.9795 , 218.994 , 205.989"
"113.985 , 113.985 , 201.9855","246.993 , 247.9875 , 241.995"
"113.985 , 107.9925 , 146.982","113.985 , 107.9925 , 146.982"
"113.985 , 107.9925 , 146.982","57.987 , 49.98 , 158.9925"
"113.985 , 107.9925 , 146.982","78.999 , 72.981 , 108.987"
"113.985 , 107.9925 , 146.982","38.9895 , 29.988 , 110.976"
"113.985 , 107.9925 , 146.982","23.9955 , 22.9755 , 57.987"
"113.985 , 107.9925 , 146.982","134.997 , 162.996 , 201.9855"
"113.985 , 107.9925 , 146.982","66.9885 , 122.9865 , 196.9875"
"113.985 , 107.9925 , 146.982","95.982 , 122.9865 , 167.994"
"113.985 , 107.9925 , 146.982","12.9795 , 79.9935 , 162.996"
"113.985 , 107.9925 , 146.982","63.9795 , 89.9895 , 122.9865"
"113.985 , 107.9925 , 146.982","2.9835 , 44.982 , 136.986"
"113.985 , 107.9925 , 146.982","3.978 , 32.997 , 64.9995"
"113.985 , 107.9925 , 146.982","115.9995 , 183.9825 , 195.993"
"113.985 , 107.9925 , 146.982","51 , 148.9965 , 183.9825"
"113.985 , 107.9925 , 146.982","88.995 , 145.9875 , 162.996"
"113.985 , 107.9925 , 146.982","2.9835 , 82.977 , 154.989"
"113.985 , 107.9925 , 146.982","47.991 , 40.9785 , 116.994"
"113.985 , 107.9925 , 146.982","3.978 , 64.9995 , 111.996"
"113.985 , 107.9925 , 146.982","9.996 , 56.9925 , 76.9845"
"113.985 , 107.9925 , 146.982","141.984 , 207.978 , 193.9785"
"113.985 , 107.9925 , 146.982","65.994 , 167.994 , 154.989"
"113.985 , 107.9925 , 146.982","104.9835 , 168.9885 , 153"
"113.985 , 107.9925 , 146.982","8.976 , 110.976 , 121.992"
"113.985 , 107.9925 , 146.982","54.978 , 116.994 , 103.989"
"113.985 , 107.9925 , 146.982","3.978 , 78.999 , 73.9755"
"113.985 , 107.9925 , 146.982","10.9905 , 59.976 , 56.9925"
"113.985 , 107.9925 , 146.982","163.9905 , 226.9755 , 172.992"
"113.985 , 107.9925 , 146.982","95.982 , 193.9785 , 110.976"
"113.985 , 107.9925 , 146.982","131.988 , 179.979 , 127.9845"
"113.985 , 107.9925 , 146.982","64.9995 , 161.976 , 68.9775"
"113.985 , 107.9925 , 146.982","72.981 , 127.9845 , 85.986"
"113.985 , 107.9925 , 146.982","32.997 , 116.994 , 39.984"
"113.985 , 107.9925 , 146.982","22.9755 , 61.9905 , 31.977"
"113.985 , 107.9925 , 146.982","216.9795 , 226.9755 , 106.998"
"113.985 , 107.9925 , 146.982","197.982 , 221.9775 , 36.975"
"113.985 , 107.9925 , 146.982","174.981 , 190.995 , 90.984"
"113.985 , 107.9925 , 146.982","170.9775 , 201.9855 , 1.989"
"113.985 , 107.9925 , 146.982","132.9825 , 147.9765 , 42.993"
"113.985 , 107.9925 , 146.982","117.9885 , 142.9785 , 0.9945"
"113.985 , 107.9925 , 146.982","68.9775 , 85.986 , 7.9815"
"113.985 , 107.9925 , 146.982","251.991 , 236.997 , 119.9775"
"113.985 , 107.9925 , 146.982","252.9855 , 221.9775 , 42.993"
"113.985 , 107.9925 , 146.982","211.9815 , 190.995 , 81.9825"
"113.985 , 107.9925 , 146.982","244.9785 , 208.998 , 0.9945"
"113.985 , 107.9925 , 146.982","175.9755 , 151.98 , 45.9765"
"113.985 , 107.9925 , 146.982","170.9775 , 143.9985 , 2.9835"
"113.985 , 107.9925 , 146.982","104.9835 , 90.984 , 20.9865"
"113.985 , 107.9925 , 146.982","250.9965 , 200.991 , 141.984"
"113.985 , 107.9925 , 146.982","251.991 , 166.9995 , 40.9785"
"113.985 , 107.9925 , 146.982","228.99 , 154.989 , 91.9785"
"113.985 , 107.9925 , 146.982","255 , 143.9985 , 0"
"113.985 , 107.9925 , 146.982","174.981 , 120.9975 , 60.996"
"113.985 , 107.9925 , 146.982","172.992 , 100.98 , 1.989"
"113.985 , 107.9925 , 146.982","118.983 , 69.9975 , 11.985"
"113.985 , 107.9925 , 146.982","250.9965 , 175.9755 , 153"
"113.985 , 107.9925 , 146.982","251.991 , 112.9905 , 46.9965"
"113.985 , 107.9925 , 146.982","230.979 , 126.99 , 114.9795"
"113.985 , 107.9925 , 146.982","232.9935 , 52.989 , 6.987"
"113.985 , 107.9925 , 146.982","162.996 , 87.975 , 57.987"
"113.985 , 107.9925 , 146.982","165.9795 , 26.979 , 1.989"
"113.985 , 107.9925 , 146.982","120.9975 , 41.9985 , 24.99"
"113.985 , 107.9925 , 146.982","246.993 , 153.9945 , 161.976"
"113.985 , 107.9925 , 146.982","226.9755 , 97.9965 , 100.98"
"113.985 , 107.9925 , 146.982","210.987 , 121.992 , 125.9955"
"113.985 , 107.9925 , 146.982","218.994 , 11.985 , 39.984"
"113.985 , 107.9925 , 146.982","150.9855 , 72.981 , 75.99"
"113.985 , 107.9925 , 146.982","155.9835 , 8.976 , 26.979"
"113.985 , 107.9925 , 146.982","89.9895 , 29.988 , 31.977"
"113.985 , 107.9925 , 146.982","1.989 , 3.978 , 0.9945"
"113.985 , 107.9925 , 146.982","41.9985 , 48.9855 , 40.9785"
"113.985 , 107.9925 , 146.982","89.9895 , 95.982 , 81.9825"
"113.985 , 107.9925 , 146.982","93.993 , 99.9855 , 85.986"
"113.985 , 107.9925 , 146.982","126.99 , 130.9935 , 116.994"
"113.985 , 107.9925 , 146.982","157.998 , 161.976 , 147.9765"
"113.985 , 107.9925 , 146.982","180.999 , 186.9915 , 172.992"
"113.985 , 107.9925 , 146.982","216.9795 , 218.994 , 205.989"
"113.985 , 107.9925 , 146.982","246.993 , 247.9875 , 241.995"
"57.987 , 49.98 , 158.9925","57.987 , 49.98 , 158.9925"
"57.987 , 49.98 , 158.9925","78.999 , 72.981 , 108.987"
"57.987 , 49.98 , 158.9925","38.9895 , 29.988 , 110.976"
"57.987 , 49.98 , 158.9925","23.9955 , 22.9755 , 57.987"
"57.987 , 49.98 , 158.9925","134.997 , 162.996 , 201.9855"
"57.987 , 49.98 , 158.9925","66.9885 , 122.9865 , 196.9875"
"57.987 , 49.98 , 158.9925","95.982 , 122.9865 , 167.994"
"57.987 , 49.98 , 158.9925","12.9795 , 79.9935 , 162.996"
"57.987 , 49.98 , 158.9925","63.9795 , 89.9895 , 122.9865"
"57.987 , 49.98 , 158.9925","2.9835 , 44.982 , 136.986"
"57.987 , 49.98 , 158.9925","3.978 , 32.997 , 64.9995"
"57.987 , 49.98 , 158.9925","115.9995 , 183.9825 , 195.993"
"57.987 , 49.98 , 158.9925","51 , 148.9965 , 183.9825"
"57.987 , 49.98 , 158.9925","88.995 , 145.9875 , 162.996"
"57.987 , 49.98 , 158.9925","2.9835 , 82.977 , 154.989"
"57.987 , 49.98 , 158.9925","47.991 , 40.9785 , 116.994"
"57.987 , 49.98 , 158.9925","3.978 , 64.9995 , 111.996"
"57.987 , 49.98 , 158.9925","9.996 , 56.9925 , 76.9845"
"57.987 , 49.98 , 158.9925","141.984 , 207.978 , 193.9785"
"57.987 , 49.98 , 158.9925","65.994 , 167.994 , 154.989"
"57.987 , 49.98 , 158.9925","104.9835 , 168.9885 , 153"
"57.987 , 49.98 , 158.9925","8.976 , 110.976 , 121.992"
"57.987 , 49.98 , 158.9925","54.978 , 116.994 , 103.989"
"57.987 , 49.98 , 158.9925","3.978 , 78.999 , 73.9755"
"57.987 , 49.98 , 158.9925","10.9905 , 59.976 , 56.9925"
"57.987 , 49.98 , 158.9925","163.9905 , 226.9755 , 172.992"
"57.987 , 49.98 , 158.9925","95.982 , 193.9785 , 110.976"
