"","participant","spearman","pearson","meanrt","medianrt","meandiff","meancatchrt","mediancatchrt","catchacc","predspear","predpears"
"1","59bd3c6e3a9ab60001119ae5",0.718955799912926,0.754948439064051,0.8395,0.7825,1.16875,1.4684,1.4495,1,0.273512278080049,0.273148963585152
"2","5b2464337297750001c6ce7a",0.48209095887947,0.614679636729131,0.5383303125,0.38335,0.59375,1.397555,1.30755,1,0.233562828026473,0.215609628791141
"3","5b76e19d948cc40001da0e50",0.610951338295554,0.638364680195478,1.8836290625,1.6086,1.03125,1.90257,1.8082,1,0.412127084414958,0.433852814420146
"4","5d4ca0ef259d580001cde9bb",0.819620194989388,0.827141405378218,1.4267025,1.19155,0.86875,2.0044,1.9236,1,0.374383996061323,0.34370568510089
"5","5d8d5938657c76001d72805c",0.629131717969499,0.72678390557943,1.0563490625,0.833,0.775,1.39055789473684,1.366,0.95,0.240189489056056,0.24867257294498
"6","5e3a069ef4b5e1000d04b724",0.718955799912926,0.754948439064051,0.8395,0.7825,1.16875,1.4684,1.4495,1,0.273512278080049,0.273148963585152
"7","5e8ec3e28ee4fe17502d74eb",0.712436529016014,0.752941241822786,1.9296875,1.108,0.40625,2.58295,2.3415,0.95,0.223740277530315,0.224082485474561
"8","5ecb57ce8473f06bc2a5060a",0.594848445652428,0.632594361298158,1.529966875,0.91745,1.50625,5.70105,1.81675,0.95,-0.527015377709402,-0.487349203249086
"9","5ecfd0b927d04d049d65b73d",0.644223131485223,0.920893954497515,1.330956875,0.9664,0.375,1.870965,1.63245,1,0.297889612239316,0.345276606579079
"10","5ed17af75957f60d040e3f34",0.738175122566379,0.789293489734163,0.7594546875,0.6679,1.05,1.483165,1.4191,0.95,0.297946066978383,0.276554125137751
"11","5ee297bb2f43f7410c49f6ef",0.701172704721863,0.739536372167226,1.4784365625,1.2642,0.9,1.656525,1.7096,1,0.343857580774702,0.333850262098348
"12","5eebcc4620cb9a33cd0df72d",0.374549578026687,0.435885368848595,1.323261875,0.8857,1.3,1.87227,1.69475,0.85,0.169741724156558,0.156917335340825
"13","5f4d50ea11a0409f3b8db045",0.579650405946546,0.541726558422703,2.0024003125,1.4851,1.275,1.979185,1.79405,1,0.322171134238625,0.301179408457113
"14","5f545f4aa6b1d47cba7d71ae",0.785502442145381,0.79842430111127,1.732870625,1.11775,0.7875,2.09708947368421,1.9484,0.95,0.386353813419684,0.337620339892932
"15","5f555cfc020a36015dd15a36",0.773653919131423,0.827815639337152,2.5114125,2.134,0.75,2.37165,2.317,1,0.288373402935613,0.272972650715074
"16","5f63b9d3a83a7d0ecdda4eb2",0.698792406598254,0.727102051842328,1.683260625,1.334,0.9375,1.74876,1.7586,1,0.39210591582219,0.362433915780928
